# Simulation 1 (Up to date)
# 404 data points written for 4 variables.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
100.47,-6.7487,0.065256,NaN
97.093,-6.7661,-0.034674,NaN
93.711,-6.7597,0.012674,NaN
90.333,-6.754,0.011443,NaN
87.958,-6.7255,0.080933,NaN
84.586,-6.7639,-0.076906,NaN
81.529,-6.7296,0.075823,NaN
79.556,-6.7114,0.061776,NaN
76.881,-6.7323,-0.052464,NaN
73.506,-6.7666,-0.068494,NaN
70.13,-6.7377,0.057759,NaN
66.759,-6.7439,-0.012347,NaN
63.384,-6.7557,-0.023729,NaN
60.01,-6.7419,0.027625,NaN
56.637,-6.7521,-0.020388,NaN
55.111,-6.6983,0.23698,NaN
51.744,-6.7685,-0.1403,NaN
48.372,-6.721,0.094918,NaN
45.002,-6.7591,-0.076174,NaN
41.627,-6.7399,0.038429,NaN
38.26,-6.729,0.021719,NaN
34.89,-6.7507,-0.043256,NaN
31.798,-6.7133,0.08133,NaN
28.435,-6.7363,-0.045976,NaN
25.875,-6.7088,0.072228,NaN
22.509,-6.7543,-0.09098,NaN
19.141,-6.7165,0.075525,NaN
16.521,-6.7088,0.019647,NaN
14.594,-6.6897,0.066714,NaN
11.349,-6.7294,-0.0822,NaN
7.9853,-6.727,0.0048909,NaN
6.6588,-6.6723,0.27621,NaN
3.904,-6.7155,-0.10499,NaN
0.54183,-6.7332,-0.035378,NaN
# Event GROUND_HIT occurred at t=62.788 seconds
# Event SIMULATION_END occurred at t=62.788 seconds
-2.8232,-6.7268,0.012776,NaN
